0	Generic	NotDef	.notdef
462	Proportional	Latin	uni1EF8
463	Proportional	Latin	uni1EF9
464	Dingbats	r20	uni2010
465	Proportional	Latin	uni2013
466	Proportional	Latin	uni2014
467	Dingbats	r20	uni2015
468	Dingbats	r20	uni2016
469	Proportional	Latin	uni2018
470	Proportional	Latin	uni2019
471	Proportional	Latin	uni201A
472	Proportional	Latin	uni201C
473	Proportional	Latin	uni201D
474	Proportional	Latin	uni201E
475	Dingbats	r20	uni2020
476	Dingbats	r20	uni2021
477	Proportional	Latin	uni2022
478	Dingbats	r20	uni2025
479	Dingbats	r20	uni2026
480	Dingbats	r20	uni2030
481	Proportional	Latin	uni2032
482	Proportional	Latin	uni2033
483	Proportional	Latin	uni2039
484	Proportional	Latin	uni203A
485	Dingbats	r20	uni203B
486	Proportional	Latin	uni203C
487	Dingbats	r20	uni2042
488	Proportional	Latin	uni2047
489	Proportional	Latin	uni2048
490	Proportional	Latin	uni2049
491	Dingbats	r20	uni2051
492	Proportional	Latin	uni2074
493	Proportional	Latin	uni20A9
494	Proportional	Latin	uni20AB
495	Proportional	Latin	uni20AC
496	Dingbats	r20	uni20DD
497	Dingbats	r20	uni20DE
498	Dingbats	r21	uni2100
499	Dingbats	r21	uni2103
500	Dingbats	r21	uni2105
501	Dingbats	r21	uni2109
502	Dingbats	r21	uni210A
503	Dingbats	r21	uni210F
504	Proportional	Latin	uni2113
505	Proportional	Latin	uni2116
506	Dingbats	r21	uni2121
507	Proportional	Latin	uni2122
508	Dingbats	r21	uni2126
509	Dingbats	r21	uni2127
510	Dingbats	r21	uni212B
511	Proportional	Latin	uni212E
512	Dingbats	r21	uni2135
513	Dingbats	r21	uni213B
514	DingbatsDigits	r21	uni2160
515	DingbatsDigits	r21	uni2161
516	DingbatsDigits	r21	uni2162
517	DingbatsDigits	r21	uni2163
518	DingbatsDigits	r21	uni2164
519	DingbatsDigits	r21	uni2165
520	DingbatsDigits	r21	uni2166
521	DingbatsDigits	r21	uni2167
522	DingbatsDigits	r21	uni2168
523	DingbatsDigits	r21	uni2169
524	DingbatsDigits	r21	uni216A
525	DingbatsDigits	r21	uni216B
526	DingbatsDigits	r21	uni2170
527	DingbatsDigits	r21	uni2171
528	DingbatsDigits	r21	uni2172
529	DingbatsDigits	r21	uni2173
530	DingbatsDigits	r21	uni2174
531	DingbatsDigits	r21	uni2175
532	DingbatsDigits	r21	uni2176
533	DingbatsDigits	r21	uni2177
534	DingbatsDigits	r21	uni2178
535	DingbatsDigits	r21	uni2179
536	DingbatsDigits	r21	uni217A
537	DingbatsDigits	r21	uni217B
538	Dingbats	r21	uni2190
539	Dingbats	r21	uni2191
540	Dingbats	r21	uni2192
541	Dingbats	r21	uni2193
542	Dingbats	r21	uni2194
543	Dingbats	r21	uni2195
544	Dingbats	r21	uni2196
545	Dingbats	r21	uni2197
546	Dingbats	r21	uni2198
547	Dingbats	r21	uni2199
548	Dingbats	r21	uni21B8
549	Dingbats	r21	uni21B9
550	Dingbats	r21	uni21C4
551	Dingbats	r21	uni21C5
552	Dingbats	r21	uni21C6
553	Dingbats	r21	uni21CB
554	Dingbats	r21	uni21CC
555	Dingbats	r21	uni21D0
556	Dingbats	r21	uni21D2
557	Dingbats	r21	uni21D4
558	Dingbats	r21	uni21E6
559	Dingbats	r21	uni21E7
560	Dingbats	r21	uni21E8
561	Dingbats	r21	uni21E9
562	Dingbats	r21	uni21F5
563	Dingbats	r22	uni2200
564	Dingbats	r22	uni2202
565	Dingbats	r22	uni2203
566	Dingbats	r22	uni2205
567	Dingbats	r22	uni2206
568	Dingbats	r22	uni2207
569	Dingbats	r22	uni2208
570	Dingbats	r22	uni2209
571	Dingbats	r22	uni220A
572	Dingbats	r22	uni220B
573	Dingbats	r22	uni220F
574	Dingbats	r22	uni2211
575	Proportional	Latin	uni2212
576	Dingbats	r22	uni2213
577	Dingbats	r22	uni221A
578	Dingbats	r22	uni221D
579	Dingbats	r22	uni221E
580	Dingbats	r22	uni221F
581	Dingbats	r22	uni2220
582	Dingbats	r22	uni2223
583	Dingbats	r22	uni2225
584	Dingbats	r22	uni2226
585	Dingbats	r22	uni2227
586	Dingbats	r22	uni2228
587	Dingbats	r22	uni2229
588	Dingbats	r22	uni222A
589	Dingbats	r22	uni222B
590	Dingbats	r22	uni222C
591	Dingbats	r22	uni222D
592	Dingbats	r22	uni222E
593	Dingbats	r22	uni2234
594	Dingbats	r22	uni2235
595	Dingbats	r22	uni2236
596	Dingbats	r22	uni2237
597	Dingbats	r22	uni223D
598	Dingbats	r22	uni2243
599	Dingbats	r22	uni2245
600	Dingbats	r22	uni2248
601	Dingbats	r22	uni224C
602	Dingbats	r22	uni2252
603	Dingbats	r22	uni2260
604	Dingbats	r22	uni2261
605	Dingbats	r22	uni2262
606	Dingbats	r22	uni2264
607	Dingbats	r22	uni2265
608	Dingbats	r22	uni2266
609	Dingbats	r22	uni2267
610	Dingbats	r22	uni226A
611	Dingbats	r22	uni226B
612	Dingbats	r22	uni226E
613	Dingbats	r22	uni226F
614	Dingbats	r22	uni2272
615	Dingbats	r22	uni2273
616	Dingbats	r22	uni2276
617	Dingbats	r22	uni2277
618	Dingbats	r22	uni2282
619	Dingbats	r22	uni2283
620	Dingbats	r22	uni2284
621	Dingbats	r22	uni2285
622	Dingbats	r22	uni2286
623	Dingbats	r22	uni2287
624	Dingbats	r22	uni228A
625	Dingbats	r22	uni228B
626	Dingbats	r22	uni2295
627	Dingbats	r22	uni2296
628	Dingbats	r22	uni2297
629	Dingbats	r22	uni2298
630	Dingbats	r22	uni2299
631	Dingbats	r22	uni22A0
632	Dingbats	r22	uni22A5
633	Dingbats	r22	uni22BF
634	Dingbats	r22	uni22DA
635	Dingbats	r22	uni22DB
636	Dingbats	r23	uni2305
637	Dingbats	r23	uni2306
638	Dingbats	r23	uni2307
639	Dingbats	r23	uni2312
640	Dingbats	r23	uni2318
641	Dingbats	r23	uni23B0
642	Dingbats	r23	uni23B1
643	Dingbats	r23	uni23BE
644	Dingbats	r23	uni23BF
645	Dingbats	r23	uni23C0
646	Dingbats	r23	uni23C1
647	Dingbats	r23	uni23C2
648	Dingbats	r23	uni23C3
649	Dingbats	r23	uni23C4
650	Dingbats	r23	uni23C5
651	Dingbats	r23	uni23C6
652	Dingbats	r23	uni23C7
653	Dingbats	r23	uni23C8
654	Dingbats	r23	uni23C9
655	Dingbats	r23	uni23CA
656	Dingbats	r23	uni23CB
657	Dingbats	r23	uni23CC
658	Dingbats	r23	uni23CE
659	Dingbats	r23	uni23DA
660	Dingbats	r23	uni23DB
661	Dingbats	r23	uni2423
662	Dingbats	r24	uni2460
663	Dingbats	r24	uni2461
664	Dingbats	r24	uni2462
665	Dingbats	r24	uni2463
666	Dingbats	r24	uni2464
667	Dingbats	r24	uni2465
668	Dingbats	r24	uni2466
669	Dingbats	r24	uni2467
670	Dingbats	r24	uni2468
671	Dingbats	r24	uni2469
672	Dingbats	r24	uni246A
673	Dingbats	r24	uni246B
674	Dingbats	r24	uni246C
675	Dingbats	r24	uni246D
676	Dingbats	r24	uni246E
677	Dingbats	r24	uni246F
678	Dingbats	r24	uni2470
679	Dingbats	r24	uni2471
680	Dingbats	r24	uni2472
681	Dingbats	r24	uni2473
682	Dingbats	r24	uni2474
683	Dingbats	r24	uni2475
684	Dingbats	r24	uni2476
685	Dingbats	r24	uni2477
686	Dingbats	r24	uni2478
687	Dingbats	r24	uni2479
688	Dingbats	r24	uni247A
689	Dingbats	r24	uni247B
690	Dingbats	r24	uni247C
691	Dingbats	r24	uni247D
692	Dingbats	r24	uni247E
693	Dingbats	r24	uni247F
694	Dingbats	r24	uni2480
695	Dingbats	r24	uni2481
696	Dingbats	r24	uni2482
697	Dingbats	r24	uni2483
698	Dingbats	r24	uni2484
699	Dingbats	r24	uni2485
700	Dingbats	r24	uni2486
701	Dingbats	r24	uni2487
702	AlphabeticDigits	r24	uni2488
